Datetime,Open,High,Low,Close,Volume
2026-03-02 09:15:00,24723.4,24957.05,24722.0,24889.4,0
2026-03-02 09:30:00,24889.75,24977.25,24885.45,24963.65,0
2026-03-02 09:45:00,24964.3,24988.75,24883.2,24945.1,0
2026-03-02 10:00:00,24946.2,24953.25,24865.7,24884.85,0
2026-03-02 10:15:00,24885.35,24887.85,24853.7,24859.6,0
2026-03-02 10:30:00,24860.95,24885.25,24812.25,24813.7,0
2026-03-02 10:45:00,24814.8,24859.2,24814.0,24855.15,0
2026-03-02 11:00:00,24856.3,24868.7,24839.35,24843.2,0
2026-03-02 11:15:00,24844.8,24849.2,24797.55,24803.0,0
2026-03-02 11:30:00,24802.8,24825.45,24797.45,24821.6,0
2026-03-02 11:45:00,24822.2,24842.8,24782.7,24784.0,0
2026-03-02 12:00:00,24784.1,24784.6,24743.25,24744.55,0
2026-03-02 12:15:00,24743.5,24756.0,24718.55,24735.65,0
2026-03-02 12:30:00,24734.55,24741.25,24684.25,24687.9,0
2026-03-02 12:45:00,24687.5,24711.8,24679.1,24697.05,0
2026-03-02 13:00:00,24698.95,24706.65,24686.85,24695.5,0
2026-03-02 13:15:00,24695.65,24708.8,24671.6,24679.5,0
2026-03-02 13:30:00,24677.8,24690.65,24655.55,24675.35,0
2026-03-02 13:45:00,24675.15,24678.5,24604.7,24614.75,0
2026-03-02 14:00:00,24612.6,24795.5,24603.95,24787.4,0
2026-03-02 14:15:00,24787.5,24794.55,24727.8,24730.3,0
2026-03-02 14:30:00,24730.9,24879.35,24722.5,24864.85,0
2026-03-02 14:45:00,24865.3,24892.4,24815.2,24823.35,0
2026-03-02 15:00:00,24824.7,24904.8,24808.35,24904.8,0
2026-03-02 15:15:00,24905.25,24914.85,24845.2,24849.75,0
2026-03-04 09:15:00,24421.45,24471.2,24316.25,24342.85,0
2026-03-04 09:30:00,24344.75,24412.0,24317.15,24408.75,0
2026-03-04 09:45:00,24410.95,24416.2,24323.6,24325.9,0
2026-03-04 10:00:00,24325.8,24414.8,24306.6,24413.65,0
2026-03-04 10:15:00,24413.65,24437.35,24382.6,24419.05,0
2026-03-04 10:30:00,24420.0,24420.7,24379.95,24390.75,0
2026-03-04 10:45:00,24391.65,24422.4,24375.7,24391.45,0
2026-03-04 11:00:00,24394.2,24461.35,24388.6,24435.45,0
2026-03-04 11:15:00,24436.4,24438.9,24363.0,24365.55,0
2026-03-04 11:30:00,24367.05,24383.35,24354.15,24362.2,0
2026-03-04 11:45:00,24364.05,24401.05,24354.3,24375.15,0
2026-03-04 12:00:00,24376.85,24402.3,24376.35,24379.85,0
2026-03-04 12:15:00,24381.15,24385.6,24362.25,24368.3,0
2026-03-04 12:30:00,24368.95,24387.5,24357.75,24382.55,0
2026-03-04 12:45:00,24383.35,24428.1,24379.95,24416.8,0
2026-03-04 13:00:00,24418.0,24461.0,24414.5,24461.0,0
2026-03-04 13:15:00,24461.45,24476.7,24432.3,24451.6,0
2026-03-04 13:30:00,24451.25,24466.35,24418.15,24462.6,0
2026-03-04 13:45:00,24463.5,24469.85,24415.75,24437.0,0
2026-03-04 14:00:00,24437.9,24556.45,24437.55,24554.95,0
2026-03-04 14:15:00,24555.35,24574.25,24513.85,24522.5,0
2026-03-04 14:30:00,24523.1,24583.75,24502.6,24578.75,0
2026-03-04 14:45:00,24579.1,24602.0,24548.0,24582.95,0
2026-03-04 15:00:00,24582.95,24584.45,24457.45,24465.95,0
2026-03-04 15:15:00,24464.85,24482.15,24451.05,24473.95,0
2026-03-05 09:15:00,24615.9,24651.6,24553.75,24568.45,0
2026-03-05 09:30:00,24570.6,24599.6,24530.7,24596.2,0
2026-03-05 09:45:00,24597.5,24656.5,24583.75,24628.5,0
2026-03-05 10:00:00,24628.25,24649.0,24595.15,24596.25,0
2026-03-05 10:15:00,24597.05,24608.65,24538.55,24564.55,0
2026-03-05 10:30:00,24563.7,24653.95,24550.3,24650.95,0
2026-03-05 10:45:00,24651.05,24672.05,24629.25,24666.55,0
2026-03-05 11:00:00,24667.2,24672.5,24639.05,24643.2,0
2026-03-05 11:15:00,24639.85,24662.95,24607.7,24612.9,0
2026-03-05 11:30:00,24613.65,24638.3,24588.55,24590.35,0
2026-03-05 11:45:00,24590.75,24597.55,24556.9,24579.1,0
2026-03-05 12:00:00,24580.2,24616.3,24574.45,24615.5,0
2026-03-05 12:15:00,24615.65,24651.75,24592.9,24648.85,0
2026-03-05 12:30:00,24649.15,24665.95,24632.65,24645.8,0
2026-03-05 12:45:00,24645.8,24657.6,24619.4,24653.45,0
2026-03-05 13:00:00,24653.95,24660.85,24632.55,24639.65,0
2026-03-05 13:15:00,24640.7,24651.35,24621.75,24651.0,0
2026-03-05 13:30:00,24651.55,24671.3,24605.8,24619.8,0
2026-03-05 13:45:00,24619.85,24635.1,24569.75,24573.7,0
2026-03-05 14:00:00,24572.5,24586.1,24547.35,24553.75,0
2026-03-05 14:15:00,24554.15,24617.4,24529.55,24611.25,0
2026-03-05 14:30:00,24611.5,24759.45,24576.45,24726.8,0
2026-03-05 14:45:00,24727.05,24853.9,24712.75,24848.95,0
2026-03-05 15:00:00,24849.2,24853.25,24714.1,24714.8,0
2026-03-05 15:15:00,24716.0,24759.4,24706.05,24737.45,0
2026-03-06 09:15:00,24656.4,24683.0,24588.35,24681.2,0
2026-03-06 09:30:00,24681.5,24681.5,24639.8,24678.85,0
2026-03-06 09:45:00,24678.35,24688.1,24618.85,24625.15,0
2026-03-06 10:00:00,24624.3,24661.1,24616.95,24653.35,0
2026-03-06 10:15:00,24652.35,24675.65,24647.4,24651.75,0
2026-03-06 10:30:00,24652.35,24652.7,24608.75,24620.15,0
